"fecha,loca,resultado,visita,ciudad"""
"29 de marzo de 2009,Perú,1:3,Chile,"Lima""
"1 de abril de 2009,Chile,0:0,Uruguay,"Santiago""
"6 de junio de 2009,Paraguay,0:2,Chile,"Asunción""
"10 de junio de 2009,Chile,4:0,Bolivia,"Santiago""
"5 de septiembre de 2009,Chile,2:2,Venezuela,"Santiago""
"9 de septiembre de 2009,Brasil,4:2,Chile,"Salvador de Bahía""
"10 de octubre de 2009,Colombia,2:4,Chile,"Medellín""
"14 de octubre de 2009,Chile,1:0,Ecuador,"Santiago""
"7 de octubre de 2011,Argentina,4:1,Chile,"Buenos Aires""
"11 de octubre de 2011,Chile,4:2,Perú,"Santiago""
"11 de noviembre de 2011,Uruguay,4:0,Chile,"Montevideo""
"15 de noviembre de 2011,Chile,2:0 (1:0),Paraguay,"Santiago""
"2 de junio de 2012,Bolivia,0:2,Chile,"La Paz""
"9 de junio de 2012,Venezuela,0:2,Chile,"Puerto La Cruz""
"11 de septiembre de 2012,Chile,1:3,Colombia,"Santiago""
"12 de octubre de 2012,Ecuador,3:1,Chile,"Quito""
"16 de octubre de 2012,Chile,1:2,Argentina,"Santiago""
"22 de marzo de 2013,Perú,1:0,Chile,"Lima""
"26 de marzo de 2013,Chile,2:0,Uruguay,"Santiago""
"7 de junio de 2013,Paraguay,1:2,Chile,"Asunción""
"11 de junio de 2013,Chile,3:1,Bolivia,"Santiago""
"6 de septiembre de 2013,Chile,3:0,Venezuela,"Santiago""
"11 de octubre de 2013,Colombia,3:3,Chile,"Barranquilla""
"15 de octubre de 2013,Chile,2:1,Ecuador,"Santiago""
"8 de octubre de 2015,Chile,2:0,Brasil,"Santiago""
"13 de octubre de 2015,Perú,3:4,Chile,"Lima""
"12 de noviembre de 2015,Chile,1:1,Colombia,"Santiago""
"17 de noviembre de 2015,Uruguay,3:0,Chile,"Montevideo""
"24 de marzo de 2016,Chile,1:2,Argentina,"Santiago""
"29 de marzo de 2016,Venezuela,1:4,Chile,"Barinas""
"1 de septiembre de 2016,Paraguay,2:1,Chile,"Asunción""
"6 de septiembre de 2016,Chile,0:0,Bolivia,"Santiago""
"6 de octubre de 2016,Ecuador,3:0,Chile,"Quito""
"11 de octubre de 2016,Chile,2:1,Perú,"Santiago""
"10 de noviembre de 2016,Colombia,0:0,Chile,"Barranquilla""
"15 de noviembre de 2016,Chile,3:1,Uruguay,"Santiago""
"23 de marzo de 2017,Argentina,1:0,Chile,"Buenos Aires""
"28 de marzo de 2017,Chile,3:1,Venezuela,"Santiago""
"31 de agosto de 2017,Chile,0:3,Paraguay,"Santiago""
"5 de septiembre de 2017,Bolivia,1:0,Chile,"La Paz""
"5 de octubre de 2017,Chile,2:1,Ecuador,"Santiago""
"10 de octubre de 2017,Brasil,3:0,Chile,"sao paulo""
"8 de octubre de 2020,Uruguay,2:1,Chile,"Montevideo""
"13 de octubre de 2020,Chile,2:2,Colombia,"Santiago""
"13 de noviembre de 2020,Chile,2:0,Perú,"Santiago""
"17 de noviembre de 2020,Venezuela,2:1,Chile,"Caracas""
"10 de octubre de 2021,Chile,2:0,Paraguay,"Santiago""
"5 de septiembre de 2021,Ecuador,0:0,Chile,"Quito""
"3 de junio de 2021,Argentina,1:1,Chile,"Santiago del Estero""
"8 de junio de 2021,Chile,1:1,Bolivia,"Santiago""
"2 de septiembre de 2021,Chile,0:1,Brasil,"Santiago""
"9 de septiembre de 2021,Colombia,3:1,Chile,"Barranquilla""
"7 de octubre de 2021,Perú,2:0,Chile,"Lima""
"14 de octubre de 2021,Chile,3:0,Venezuela,"Santiago""
"11 de noviembre de 2021,Paraguay,0:1,Chile,"Asunción""
"16 de noviembre de 2021,Chile,0:2,Ecuador,"Santiago""
"27 de enero de 2022,Chile,1:2,Argentina,"Calama""
"1 de febrero de 2022,Bolivia,2:3,Chile,"La Paz""
"24 de marzo de 2022,Brasil,4:0,Chile,"Río de Janeiro""
"29 de marzo de 2022,Chile,0:2,Uruguay,"Santiago""

