"1 de septiembre de 2016,Asuncin,Paraguay,2:1,Chile""
"6 de septiembre de 2016,Santiago,Chile,0:0,Bolivia""
"6 de octubre de 2016,Quito,Ecuador,3:0,Chile""
"11 de octubre de 2016,Santiago,Chile,2:1,Per""
"10 de noviembre de 2016,Barranquilla,Colombia,0:0,Chile""
"15 de noviembre de 2016,Santiago,Chile,3:1,Uruguay""
"23 de marzo de 2017,Buenos Aires,Argentina,1:0,Chile""
"28 de marzo de 2017,Santiago,Chile,3:1,Venezuela""
"31 de agosto de 2017,Santiago,Chile,0:3,Paraguay""
"5 de septiembre de 2017,La Paz,Bolivia,1:0,Chile""
"5 de octubre de 2017,Santiago,Chile,2:1,Ecuador""
"10 de octubre de 2017,So Paulo,Brasil,3:0,Chile""
"8 de octubre de 2020,Montevideo,Uruguay,2:1,Chile""
"13 de octubre de 2020,Santiago,Chile,2:2,Colombia""
"13 de noviembre de 2020,Santiago,Chile,2:0,Per""
"17 de noviembre de 2020,Caracas,Venezuela,2:1,Chile""
"10 de octubre de 2021,Santiago,Chile,2:0,Paraguay""
"5 de septiembre de 2021,Quito,Ecuador,0:0,Chile""
"3 de junio de 2021,Santiago del Estero,Argentina,1:1,Chile""
"8 de junio de 2021,Santiago,Chile,1:1,Bolivia""
"2 de septiembre de 2021,Santiago,Chile,0:1,Brasil""
"9 de septiembre de 2021,Barranquilla,Colombia,3:1,Chile""
"7 de octubre de 2021,Lima,Per,2:0,Chile""
"14 de octubre de 2021,Santiago,Chile,3:0,Venezuela""
"11 de noviembre de 2021,Asuncin,Paraguay,0:1,Chile""
"16 de noviembre de 2021,Santiago,Chile,0:2,Ecuador""
"27 de enero de 2022,Calama,Chile,1:2,Argentina""
"1 de febrero de 2022,La Paz,Bolivia,2:3,Chile""
"24 de marzo de 2022,Ro de Janeiro,Brasil,4:0,Chile""
"29 de marzo de 2022,Santiago,Chile,0:2,Uruguay""
